2001	3	39	弗兰兹	德国	1593
2001	3	40	WANG Jianjun	中国	1569
2001	3	41	陈卫星	奥地利	1561
2001	3	42	T-沃西克	德国	1541
2001	3	43	李哲承	韩国	1535
2001	3	44	本特森	丹麦	1517
2001	3	45	张雁书	中国台北	1516
2001	3	46	冯	保加利亚	1499
2001	3	47	P-塞弗	比利时	1481
2001	3	48	克里桑	罗马尼亚	1478
2001	3	49	莫林	瑞典	1463
2001	3	50	侯英超	中国	1447
2001	4	1	王励勤	中国	2361
2001	4	2	孔令辉	中国	2180
2001	4	3	马琳	中国	2131
2001	4	4	刘国正	中国	2099
2001	4	4	蒋澎龙	中国台北	2099
2001	4	6	萨姆索诺夫	白俄罗斯	2070
2001	4	7	金泽洙	韩国	2044
2001	4	8	刘国梁	中国	2040
2001	4	9	普里莫拉茨	克罗地亚	2021
2001	4	10	施拉格	奥地利	1998
2001	4	11	瓦尔德内尔	瑞典	1923
2001	4	12	M-塞弗	比利时	1913
2001	4	13	佩尔森	瑞典	1903
2001	4	14	罗斯科夫	德国	1883
2001	4	15	马文革	中国	1845
2001	4	16	格林卡	希腊	1824
2001	4	17	科贝尔	捷克	1810
2001	4	18	勒古	法国	1760
2001	4	19	布拉什奇克	波兰	1755
2001	4	20	吴尚垠	韩国	1753
2001	4	20	田崎俊雄	日本	1753
2001	4	22	卡尔松	瑞典	1739
2001	4	23	盖亭	法国	1713
2001	4	24	希拉	法国	1698
2001	4	25	埃洛瓦	法国	1695
2001	4	26	海斯特	荷兰	1689
2001	4	27	波尔	德国	1688
2001	4	28	松下浩二	日本	1673
2001	4	29	韦光晴光	日本	1668
2001	4	29	柳承敏	韩国	1668
2001	4	31	杨敏	意大利	1652
2001	4	32	张钰	中国香港	1644
2001	4	33	凯恩	荷兰	1642
2001	4	34	庄智渊	中国台北	1632
2001	4	35	弗兰兹	德国	1629
2001	4	36	阎森	中国	1627
2001	4	37	哈坎松	瑞典	1611
2001	4	38	黄文冠	加拿大	1604
2001	4	39	T-沃西克	德国	1593
2001	4	40	李哲承	韩国	1578
2001	4	41	何志文	西班牙	1574
2001	4	42	WANG Jianjun	中国	1569
2001	4	43	陈卫星	奥地利	1558
2001	4	44	P-塞弗	比利时	1556
2001	4	45	克里桑	罗马尼亚	1528
2001	4	46	李静	中国香港	1527
2001	4	47	冯	保加利亚	1519
2001	4	48	张雁书	中国台北	1506
2001	4	49	KIM Song Hui	朝鲜	1493
2001	4	50	莫林	瑞典	1483
2001	5	1	王励勤	中国	2313
2001	5	2	孔令辉	中国	2156
2001	5	3	马琳	中国	2101
2001	5	4	刘国正	中国	2081
2001	5	4	蒋澎龙	中国台北	2081
2001	5	6	萨姆索诺夫	白俄罗斯	2070
2001	5	7	普里莫拉茨	克罗地亚	2021
2001	5	8	刘国梁	中国	2010
2001	5	9	金泽洙	韩国	2005
2001	5	10	施拉格	奥地利	1998
2001	5	11	瓦尔德内尔	瑞典	1923
2001	5	12	M-塞弗	比利时	1913
2001	5	13	佩尔森	瑞典	1903
2001	5	14	罗斯科夫	德国	1883
2001	5	15	马文革	中国	1845
2001	5	16	格林卡	希腊	1824
2001	5	17	科贝尔	捷克	1810
2001	5	18	勒古	法国	1760
2001	5	19	布拉什奇克	波兰	1755
2001	5	20	卡尔松	瑞典	1739
2001	5	21	田崎俊雄	日本	1735
2001	5	22	吴尚垠	韩国	1732
2001	5	23	盖亭	法国	1713
2001	5	24	希拉	法国	1698
2001	5	25	埃洛瓦	法国	1695
2001	5	26	海斯特	荷兰	1689
2001	5	27	波尔	德国	1688
2001	5	28	松下浩二	日本	1661
2001	5	29	韦光晴光	日本	1659
2001	5	30	杨敏	意大利	1652
2001	5	31	柳承敏	韩国	1650
2001	5	32	凯恩	荷兰	1642
2001	5	33	弗兰兹	德国	1629
2001	5	34	庄智渊	中国台北	1627
2001	5	35	张钰	中国香港	1617
2001	5	36	哈坎松	瑞典	1611
2001	5	37	阎森	中国	1609
2001	5	38	T-沃西克	德国	1593
2001	5	39	黄文冠	加拿大	1592
2001	5	40	何志文	西班牙	1574
2001	5	41	WANG Jianjun	中国	1569
2001	5	42	李哲承	韩国	1563
2001	5	43	陈卫星	奥地利	1558
2001	5	44	P-塞弗	比利时	1556
2001	5	45	克里桑	罗马尼亚	1528
2001	5	46	李静	中国香港	1527
2001	5	47	冯	保加利亚	1519
2001	5	48	张雁书	中国台北	1500
2001	5	49	KIM Song Hui	朝鲜	1493
2001	5	50	莫林	瑞典	1483
2001	6	1	王励勤	中国	2310
2001	6	2	孔令辉	中国	2108
2001	6	3	马琳	中国	2096
2001	6	4	刘国正	中国	2080
2001	6	5	蒋澎龙	中国台北	2059
2001	6	6	萨姆索诺夫	白俄罗斯	2040
2001	6	7	施拉格	奥地利	1999
2001	6	8	普里莫拉茨	克罗地亚	1997
2001	6	9	金泽洙	韩国	1974
2001	6	10	刘国梁	中国	1955
2001	6	11	瓦尔德内尔	瑞典	1950
2001	6	12	M-塞弗	比利时	1937
2001	6	13	佩尔森	瑞典	1903
2001	6	14	罗斯科夫	德国	1868
2001	6	15	马文革	中国	1845
2001	6	16	格林卡	希腊	1824
2001	6	17	科贝尔	捷克	1810
2001	6	18	波尔	德国	1776
2001	6	19	勒古	法国	1748
2001	6	20	布拉什奇克	波兰	1738
2001	6	21	卡尔松	瑞典	1727
2001	6	22	田崎俊雄	日本	1717
2001	6	23	吴尚垠	韩国	1708
2001	6	24	盖亭	法国	1703
2001	6	25	希拉	法国	1698
2001	6	26	海斯特	荷兰	1680
2001	6	27	埃洛瓦	法国	1677
2001	6	28	凯恩	荷兰	1668
2001	6	29	杨敏	意大利	1652
2001	6	30	弗兰兹	德国	1644
2001	6	31	韦光晴光	日本	1641
2001	6	32	柳承敏	韩国	1634
2001	6	33	松下浩二	日本	1631
2001	6	34	庄智渊	中国台北	1630
2001	6	35	哈坎松	瑞典	1618
2001	6	36	阎森	中国	1600
2001	6	37	张钰	中国香港	1583
2001	6	38	黄文冠	加拿大	1580
2001	6	39	T-沃西克	德国	1578
2001	6	40	何志文	西班牙	1572
2001	6	41	WANG Jianjun	中国	1569
2001	6	42	陈卫星	奥地利	1549
2001	6	43	P-塞弗	比利时	1547
2001	6	44	克里桑	罗马尼亚	1542
2001	6	44	李哲承	韩国	1542
2001	6	46	高礼泽	中国香港	1528
2001	6	47	冯	保加利亚	1519
2001	6	48	KIM Song Hui	朝鲜	1492
2001	6	49	格鲁季奇	塞尔维亚	1485
2001	6	50	本特森	丹麦	1479
2001	7	1	王励勤	中国	2274
2001	7	2	刘国正	中国	2128
2001	7	3	孔令辉	中国	2090
2001	7	4	马琳	中国	2084
2001	7	5	蒋澎龙	中国台北	2033
2001	7	6	萨姆索诺夫	白俄罗斯	2022
2001	7	7	普里莫拉茨	克罗地亚	1988
2001	7	8	施拉格	奥地利	1974
2001	7	9	M-塞弗	比利时	1968
2001	7	10	金泽洙	韩国	1956
2001	7	11	刘国梁	中国	1946
2001	7	12	瓦尔德内尔	瑞典	1938
2001	7	13	佩尔森	瑞典	1894
2001	7	14	罗斯科夫	德国	1886
2001	7	15	马文革	中国	1845
2001	7	16	格林卡	希腊	1822
2001	7	17	科贝尔	捷克	1810
2001	7	18	波尔	德国	1785
2001	7	19	布拉什奇克	波兰	1766
2001	7	20	勒古	法国	1748
2001	7	21	庄智渊	中国台北	1727
2001	7	22	吴尚垠	韩国	1723
2001	7	23	卡尔松	瑞典	1718
2001	7	24	田崎俊雄	日本	1706
2001	7	25	盖亭	法国	1703
2001	7	26	希拉	法国	1698
2001	7	27	海斯特	荷兰	1695
2001	7	28	凯恩	荷兰	1683
2001	7	29	埃洛瓦	法国	1677
2001	7	30	黄文冠	加拿大	1675
2001	7	31	杨敏	意大利	1651
2001	7	32	韦光晴光	日本	1646
2001	7	33	弗兰兹	德国	1644
2001	7	34	柳承敏	韩国	1625
2001	7	35	松下浩二	日本	1614
2001	7	36	哈坎松	瑞典	1594
2001	7	37	阎森	中国	1588
2001	7	38	张钰	中国香港	1583
2001	7	39	T-沃西克	德国	1572
2001	7	39	何志文	西班牙	1572
2001	7	39	WANG Jianjun	中国	1572
2001	7	42	陈卫星	奥地利	1549
2001	7	42	李哲承	韩国	1549
2001	7	44	P-塞弗	比利时	1547
2001	7	45	克里桑	罗马尼亚	1534
2001	7	46	高礼泽	中国香港	1525
2001	7	47	冯	保加利亚	1518
2001	7	48	KIM Song Hui	朝鲜	1492
2001	7	48	格鲁季奇	塞尔维亚	1492
2001	7	50	本特森	丹麦	1490
2001	8	1	王励勤	中国	2274
2001	8	2	刘国正	中国	2128
2001	8	3	孔令辉	中国	2090
2001	8	4	马琳	中国	2084
2001	8	5	蒋澎龙	中国台北	2033
2001	8	6	萨姆索诺夫	白俄罗斯	2022
2001	8	7	普里莫拉茨	克罗地亚	1988
2001	8	8	施拉格	奥地利	1974
